Protein with selected exonic region,Partner Protein,Uniprot ID of Protein 1,Uniprot ID of Protein 2
CALM3,KCNQ5,H0Y7A7,F8WEA4
CALM3,KCNQ5,P0DP25,F8WEA4
CALM3,FGF13,Q96HY3,Q92913-5
CALM3,FGF13,P0DP25,Q92913-5
CALM3,FGF13,Q96HY3,Q92913
CALM3,FGF13,P0DP25,Q92913
CALM3,FGF13,Q96HY3,Q92913-4
CALM3,FGF13,P0DP25,Q92913-4
CALM3,FGF13,Q96HY3,Q92913-3
CALM3,FGF13,P0DP25,Q92913-3
CALM3,FGF13,Q96HY3,Q92913-2
CALM3,FGF13,P0DP25,Q92913-2
CALM3,FGF13,Q96HY3,B1AJW0
CALM3,FGF13,P0DP25,B1AJW0
CALM3,SCN4A,Q96HY3,P35499
CALM3,SCN4A,E7ETZ0,P35499
CALM3,SCN4A,H0Y7A7,P35499
CALM3,SCN4A,P0DP25,P35499
CALM3,EEF2K,Q96HY3,O00418
CALM3,EEF2K,E7ETZ0,O00418
CALM3,EEF2K,H0Y7A7,O00418
CALM3,EEF2K,P0DP25,O00418
CALM3,CAMKK1,Q96HY3,J3KPJ3
CALM3,CAMKK1,E7ETZ0,J3KPJ3
CALM3,CAMKK1,H0Y7A7,J3KPJ3
CALM3,CAMKK1,P0DP25,J3KPJ3
CALM3,CAMKK1,Q96HY3,Q8N5S9-2
CALM3,CAMKK1,E7ETZ0,Q8N5S9-2
CALM3,CAMKK1,H0Y7A7,Q8N5S9-2
CALM3,CAMKK1,P0DP25,Q8N5S9-2
CALM3,CAMKK1,Q96HY3,Q8N5S9
CALM3,CAMKK1,E7ETZ0,Q8N5S9
CALM3,CAMKK1,H0Y7A7,Q8N5S9
CALM3,CAMKK1,P0DP25,Q8N5S9
CALM3,RYR1,Q96HY3,P21817-2
CALM3,RYR1,E7ETZ0,P21817-2
CALM3,RYR1,H0Y7A7,P21817-2
CALM3,RYR1,P0DP25,P21817-2
CALM3,RYR1,Q96HY3,P21817
CALM3,RYR1,E7ETZ0,P21817
CALM3,RYR1,H0Y7A7,P21817
CALM3,RYR1,P0DP25,P21817
CALM3,UNC13A,Q96HY3,Q9UPW8
CALM3,UNC13A,E7ETZ0,Q9UPW8
CALM3,UNC13A,H0Y7A7,Q9UPW8
CALM3,UNC13A,P0DP25,Q9UPW8
CALM3,UNC13A,Q96HY3,F8W059
CALM3,UNC13A,E7ETZ0,F8W059
CALM3,UNC13A,H0Y7A7,F8W059
CALM3,UNC13A,P0DP25,F8W059
CALM3,UNC13A,Q96HY3,F8VZH8
CALM3,UNC13A,E7ETZ0,F8VZH8
CALM3,UNC13A,H0Y7A7,F8VZH8
CALM3,UNC13A,P0DP25,F8VZH8
CALM3,UNC13A,Q96HY3,F8W0P6
CALM3,UNC13A,E7ETZ0,F8W0P6
CALM3,UNC13A,H0Y7A7,F8W0P6
CALM3,UNC13A,P0DP25,F8W0P6
CALM3,PLEC,Q96HY3,Q15149-6
CALM3,PLEC,E7ETZ0,Q15149-6
CALM3,PLEC,H0Y7A7,Q15149-6
CALM3,PLEC,P0DP25,Q15149-6
CALM3,PLEC,Q96HY3,Q15149-4
CALM3,PLEC,E7ETZ0,Q15149-4
CALM3,PLEC,H0Y7A7,Q15149-4
CALM3,PLEC,P0DP25,Q15149-4
CALM3,SPTAN1,Q96HY3,A0A0D9SGF6
CALM3,SPTAN1,E7ETZ0,A0A0D9SGF6
CALM3,SPTAN1,H0Y7A7,A0A0D9SGF6
CALM3,SPTAN1,P0DP25,A0A0D9SGF6
CALM3,SPTAN1,Q96HY3,Q13813-2
CALM3,SPTAN1,E7ETZ0,Q13813-2
CALM3,SPTAN1,H0Y7A7,Q13813-2
CALM3,SPTAN1,P0DP25,Q13813-2
CALM3,SPTAN1,Q96HY3,Q13813
CALM3,SPTAN1,E7ETZ0,Q13813
CALM3,SPTAN1,H0Y7A7,Q13813
CALM3,SPTAN1,P0DP25,Q13813
CALM3,SPTAN1,Q96HY3,Q13813-3
CALM3,SPTAN1,E7ETZ0,Q13813-3
CALM3,SPTAN1,H0Y7A7,Q13813-3
CALM3,SPTAN1,P0DP25,Q13813-3
CALM3,SPTAN1,Q96HY3,A0A0D9SF54
CALM3,SPTAN1,E7ETZ0,A0A0D9SF54
CALM3,SPTAN1,H0Y7A7,A0A0D9SF54
CALM3,SPTAN1,P0DP25,A0A0D9SF54
CALM3,DAPK1,Q96HY3,P53355
CALM3,DAPK1,E7ETZ0,P53355
CALM3,DAPK1,H0Y7A7,P53355
CALM3,DAPK1,P0DP25,P53355
CALM3,DAPK1,Q96HY3,P53355-4
CALM3,DAPK1,E7ETZ0,P53355-4
CALM3,DAPK1,H0Y7A7,P53355-4
CALM3,DAPK1,P0DP25,P53355-4
CALM3,MYO5A,Q96HY3,Q9Y4I1-2
CALM3,MYO5A,E7ETZ0,Q9Y4I1-2
CALM3,MYO5A,H0Y7A7,Q9Y4I1-2
CALM3,MYO5A,P0DP25,Q9Y4I1-2
CALM3,MYO5A,Q96HY3,Q9Y4I1
CALM3,MYO5A,E7ETZ0,Q9Y4I1
CALM3,MYO5A,H0Y7A7,Q9Y4I1
CALM3,MYO5A,P0DP25,Q9Y4I1
CALM3,MYO5A,Q96HY3,G3V394
CALM3,MYO5A,E7ETZ0,G3V394
CALM3,MYO5A,H0Y7A7,G3V394
CALM3,MYO5A,P0DP25,G3V394
CALM3,MYO5A,Q96HY3,F8W6H6
CALM3,MYO5A,E7ETZ0,F8W6H6
CALM3,MYO5A,H0Y7A7,F8W6H6
CALM3,MYO5A,P0DP25,F8W6H6
CALM3,MYO5A,Q96HY3,F8WE88
CALM3,MYO5A,E7ETZ0,F8WE88
CALM3,MYO5A,H0Y7A7,F8WE88
CALM3,MYO5A,P0DP25,F8WE88
CALM3,MYO5A,Q96HY3,A0A087WY00
CALM3,MYO5A,E7ETZ0,A0A087WY00
CALM3,MYO5A,H0Y7A7,A0A087WY00
CALM3,MYO5A,P0DP25,A0A087WY00
CALM3,CACNA1S,Q96HY3,Q13698
CALM3,CACNA1S,E7ETZ0,Q13698
CALM3,CACNA1S,H0Y7A7,Q13698
CALM3,CACNA1S,P0DP25,Q13698
CALM3,CACNA1S,Q96HY3,B1ALM3
CALM3,CACNA1S,E7ETZ0,B1ALM3
CALM3,CACNA1S,H0Y7A7,B1ALM3
CALM3,CACNA1S,P0DP25,B1ALM3
CALM3,ITPKA,Q96HY3,C9JC74
CALM3,ITPKA,E7ETZ0,C9JC74
CALM3,ITPKA,H0Y7A7,C9JC74
CALM3,ITPKA,P0DP25,C9JC74
CALM3,ITPKA,Q96HY3,P23677
CALM3,ITPKA,E7ETZ0,P23677
CALM3,ITPKA,H0Y7A7,P23677
CALM3,ITPKA,P0DP25,P23677
CALM3,SNCA,Q96HY3,D6RA31
CALM3,SNCA,E7ETZ0,D6RA31
CALM3,SNCA,H0Y7A7,D6RA31
CALM3,SNCA,P0DP25,D6RA31
CALM3,ATP2B4,Q96HY3,P23634
CALM3,ATP2B4,E7ETZ0,P23634
CALM3,ATP2B4,H0Y7A7,P23634
CALM3,ATP2B4,P0DP25,P23634
CALM3,ATP2B4,Q96HY3,P23634-6
CALM3,ATP2B4,E7ETZ0,P23634-6
CALM3,ATP2B4,H0Y7A7,P23634-6
CALM3,ATP2B4,P0DP25,P23634-6
CALM3,ATP2B4,Q96HY3,H7BY13
CALM3,ATP2B4,P0DP25,H7BY13
CALM3,ATP2B1,Q96HY3,H0YHH6
CALM3,ATP2B1,P0DP25,H0YHH6
CALM3,PLEC,H0Y7A7,Q15149-7
CALM3,CALM3,H0Y7A7,M0QZ52
CALM3,CALM1,H0Y7A7,M0QZ52
CALM3,CALM2,H0Y7A7,M0QZ52
